Time,Reference number,Author(s):,Type of Research:,"Publisher (e.g. ADB, UNESCO, journal name):",Publication year:,Publication language:,Country or countries studied,Region(s) studied:,Levels of education discussed,Research approach:,Research Methods,Theoretical Framework,How is private tutoring framed in the publication?,What is taught during private tutoring?,Where does private tutoring occur?,Does the teacher charge for private tutoring?,How large are the tutoring classes?,How large is the tutoring operation?,Why are students taking private tutoring?,Reviewer Name,Reviewer Name,Type of Publication:,Who provides tutoring services?,How is private tutoring viewed in the article?,Additional important details:,What data set was used?,Data drawn from the following stakeholders:,"If previous answer was equity, then please define equity concern here",Was data set used?
2/7/2014 16:59:10,109e,,Policy analysis + Theoretical???,Review of Market Integration,2009,English,,Global / Worldwide,"Pre-primary, Primary, Secondary","Theoretical/conceptual, proposal a model",Qualitative,"Presents model of private tutoring in which demand comes from poor school infrastructure and teacher ""shirking""
???","Related to curriculum coverage / ed. quality / Corruption, Equity, Supply & Demand / Economic Efficiency, Household Expenditures, Global trend",Subjects taught in school,Not defined,"Yes, they charge a fee",Unclear,Individual operator,"Make up for perceived failure in the mainstream system / school, parents want to invest in children's education",,Hang Duong,Journal Article,"Current classroom teacher, Other K-12 teachers",Neither benefits and concerns,,,N/A [documents],"Parental income inequality then directly transmits inequality into their offsprings’ educational achievements.
""For reasons of equity and affordability, schooling should be free and uniform at least up to the secondary level"" (p. 375).",No
2/23/2014 14:48:23,112d,,Original empirical research,"Institute for the Study of Labor, Bonn, Germany (IZA DP No. 6626",2012,English,Turkey,Eastern Europe,Secondary,Single-country / case,Quantitative,Human Rights,"Related to curriculum coverage / ed. quality / exam prep, Equity",Subjects taught in school,Designated tutoring center or franchise,"Yes, they charge a fee",Various class sizes discussed,"Small firm, Large firm",Preparation for exams to make student more competitive,,Iveta,Report,Institution / Professional tutor,Raises concerns,,,"Teachers who do not tutor, Teachers who tutor, Parents / household, Students, N/A [documents]",SES,No
2/26/2014 23:50:29,113e,,Review of other research,ADB,2012,English,,"Central Asia, East Asia, South Asia, Southeast Asia","Primary, Secondary",Comparative,Qualitative,"Social Capital, Human Capital","Related to curriculum coverage / ed. quality / exam prep, Corruption, Equity, Supply & Demand / Economic Efficiency, Social Cohesion, Global Trend, Household Expenditures",Both,"On school grounds, Designated tutoring center or franchise, On-line / via web, In the student's home","Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons, To provide extra enrichment activities (sports or arts), Peer pressure, Teacher pressure",,Hang Duong,Book,"Current classroom teacher, Other K-12 teachers, Retired teacher, University faculty, Institution / Professional tutor, College student, Peer/classmate, Parent or family member, Community member / volunteer",Addresses both benefits and concerns,,,N/A [documents],The emphasis on “inclusive growth” by the Asian Development Bank (2010)  recognizes the importance of including equity in economic agendas. p.71,No
2/25/2014 0:34:37,114e,,"Original empirical research, Policy analysis",Journal of Curriculum Studies,2014,English,Hong Kong,,Secondary,Single-country / case,Qualitative,Maslow's hierarchy of needs,"Related to curriculum coverage / ed. quality / exam prep, Global Trend, Household Expenditures",Subjects taught in school,Designated tutoring center or franchise,"Yes, they charge a fee",Various class sizes discussed,Various,"Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Olga,Journal Article,Institution / Professional tutor,Addresses both benefits and concerns,,,Students,,No
2/26/2014 23:39:28,115e,,Original empirical research,International Education Journal,2005,English,Vietnam,Southeast Asia,Primary,Single-country / case,Quantitative,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Corruption, Equity, Supply & Demand / Economic Efficiency, Global Trend, Household Expenditures",Both,Not defined,"Yes, they charge a fee",Various class sizes discussed,,"For cultural reasons, To provide extra enrichment activities (sports or arts), Teacher pressure",,Hang Duong,Journal Article,"Current classroom teacher, Other K-12 teachers, Retired teacher, University faculty, Institution / Professional tutor",Addresses both benefits and concerns,,Young Lives survey,"Parents / household, Students",The  broader finding that poor children suffer poorer learning outcomes calls for more equity in both  the provision and the quality of primary level education. p.633,Yes
5/20/2014 23:56:02,141e,,Original empirical research,Sociology of Education,2010,English,Japan,East Asia,Secondary,Single-country / case,Quantitative,Cultural Capital,Related to curriculum coverage / ed. quality / exam prep,Subjects taught in school,Not defined,Not defined,Unclear,unclear,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Xiaoran Yu,Journal Article,Not defined,Does not address benefits or concerns,,Our data come from the 1995 Social Stratification and Mobility survey (SSM). ,Students,,Yes
5/19/2014 21:15:20,142e,,Review of other research,Frontiers of Education in China,2011,English,China,East Asia,"Primary, Secondary",Single-country / case,None or unclear,game theory,"Related to curriculum coverage / ed. quality / exam prep, Equity, Supply & Demand / Economic Efficiency",Subjects taught in school,Not defined,"Yes, they charge a fee",Unclear,not clear,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Xiaoran Yu,Journal Article,Not defined,Raises concerns,,,Students,"uneven distribution of educational resources that exist between regions, urban and rural areas, at different levels, and at the same type of institution within a particular area",No
5/19/2014 20:58:43,143e,,Original empirical research,Applied Behavioral Science Review,1995,English,USA,U.S. & Canada,"Pre-primary, Primary",Single-country / case,Quantitative,Cultural Capital,Related to curriculum coverage / ed. quality / exam prep,Subjects taught in school,Designated tutoring center or franchise,"No, they do not charge a fee",Large groups,not clear,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons",,Xiaoran Yu,Journal Article,"Current classroom teacher, Retired teacher, College student",Addresses both benefits and concerns,,"In the first year, the target population consisted of students who attended grades four through six at the public school two blocks from the center and who lived in the neighborhood. In the second year of the program, students from the school's new kindergarten program also were permitted to apply.",Students,,Yes
5/19/2014 21:44:29,146e,,Original empirical research,Economics of Education Review,2014,English,Hong Kong,East Asia,Secondary,Single-country / case,Quantitative,Human Capital,"Related to curriculum coverage / ed. quality / exam prep, Equity, Supply & Demand / Economic Efficiency, Household Expenditures",Subjects taught in school,Not defined,Both,Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school, For cultural reasons",,Xiaoran Yu,Journal Article,"Current classroom teacher, Other K-12 teachers, Retired teacher",Raises concerns,,"This paper focuses on private tutoring in Hong Kong. It draws on data collected through
questionnaires from students in Grades 9 and 12",Students,market for private tutoring reproduces social inequalities in the mainstream education system. Family  income was found to have a positive influence on both participation probability and expenditure of private tutoring,Yes
5/20/2014 22:52:29,160e,,Original empirical research,The Journal of Special Education,1986,English,USA,U.S. & Canada,"Primary, Secondary",Single-country / case,Quantitative,None or Unclear to us,Related to curriculum coverage / ed. quality / exam prep,Subjects taught in school,Designated tutoring center or franchise,"No, they do not charge a fee",Unclear,not clear,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Make up for perceived failure in the mainstream system / school",,Xiaoran Yu,Journal Article,Parent or family member,Discusses benefits,,The target population consisted of 64 full-time special education students enrolled in the primary division of a Northern Delaware school district's Intensive Learning center.,Students,,Yes
5/19/2014 22:24:30,188e,,Original empirical research,Comparative Education,1988,English,Japan,East Asia,Secondary,Single-country / case,Qualitative,None or Unclear to us,"Related to curriculum coverage / ed. quality / exam prep, Equity",Subjects taught in school,Not defined,"Yes, they charge a fee",Various class sizes discussed,Various,"Student falls behind and needs extra help (Remediation), Preparation for exams to make student more competitive, Peer pressure, Teacher pressure",,Xiaoran Yu,Journal Article,"Current classroom teacher, Other K-12 teachers, Retired teacher, College student",Addresses both benefits and concerns,,"The fieldwork began in August of 1985, after a pilot interview study of 12 ronin students in April
and May of 1985, and ended in August of 1986. In December 1985, self-administered
questionnaires were distributed to all ronin students attending classes in the yobiko at that
time.","Teachers who tutor, Students","Symbolically, the yobiko is functional for the society as a whole. It legitimises the college entrance examination as a symbol of opportunity. In so doing, it provides the society with stability and legitimacy for social stratification.",Yes
